setting,div,grammar,perplexity
12-2,2,111001,25.65
12-2,2,011111,24.3
12-2,2,110101,26.05
12-2,2,001010,24.37
12-2,2,100000,22.42
12-2,1,111101,25.07
12-2,1,010111,24.69
12-2,1,101000,22.72
12-2,1,000010,23.4
12-2,1,000110,23.38
12-2,1,101100,22.55
12-2,1,010011,24.63
12-2,1,111001,25.2
12-2,2,100100,22.38
12-2,2,001110,24.39
12-2,2,110001,26.03
12-2,2,011011,24.29
12-2,2,000111,24.76
12-2,2,101101,23.47
12-2,2,010010,25.68
12-2,2,111000,27.02
12-2,1,100101,22.28
12-2,1,001111,24.36
12-2,1,110000,26.07
12-2,1,011010,24.16
12-2,1,011110,24.16
12-2,1,110100,26.04
12-2,1,001011,24.37
12-2,1,100001,22.55
12-2,2,111100,27.02
12-2,2,010110,25.86
12-2,2,101001,23.65
12-2,2,000011,24.76
12-2,2,111011,25.63
12-2,2,010001,25.41
12-2,2,101110,23.02
12-2,2,000100,23.82
12-2,1,011001,23.7
12-2,1,110011,25.12
12-2,1,001100,24.16
12-2,1,100110,21.91
12-2,1,100010,22.03
12-2,1,001000,24.27
12-2,1,110111,25.06
12-2,1,011101,23.71
12-2,2,000000,23.8
12-2,2,101010,23.16
12-2,2,010101,25.31
12-2,2,111111,25.72
12-2,2,100011,22.85
12-2,2,001001,25.14
12-2,2,110110,26.64
12-2,2,011100,24.6
12-2,1,000001,24.61
12-2,1,101011,22.71
12-2,1,010100,25.23
12-2,1,111110,26.36
12-2,1,111010,26.43
12-2,1,010000,25.18
12-2,1,101111,22.36
12-2,1,000101,24.67
12-2,2,011000,24.52
12-2,2,110010,26.9
12-2,2,001101,25.06
12-2,2,100111,22.6
12-2,0,011010,24.13
12-2,0,110000,26.2
12-2,0,001111,24.38
12-2,0,100101,22.54
12-2,0,100001,22.74
12-2,0,001011,24.4
12-2,0,110100,26.16
12-2,0,011110,24.14
12-2,0,000010,23.5
12-2,0,101000,23.25
12-2,0,010111,25.0
12-2,0,111101,25.37
12-2,0,111001,25.36
12-2,0,010011,25.02
12-2,0,101100,23.27
12-2,0,000110,23.53
12-2,0,111110,24.79
12-2,0,010100,25.34
12-2,0,101011,22.95
12-2,0,000001,24.65
12-2,0,000101,24.64
12-2,0,101111,22.7
12-2,0,010000,25.34
12-2,0,111010,26.71
12-2,0,100110,22.07
12-2,0,001100,24.52
12-2,0,110011,25.35
12-2,0,011001,24.01
12-2,0,011101,23.99
12-2,0,110111,25.14
12-2,0,001000,24.52
12-2,0,100010,22.17
13-1,2,001111,25.5
13-1,2,100101,23.07
13-1,2,011010,24.93
13-1,2,110000,27.27
13-1,1,101101,29.55
13-1,1,000111,25.43
13-1,1,111000,28.46
13-1,1,010010,25.86
13-1,1,010110,26.28
13-1,1,111100,28.24
13-1,1,000011,25.54
13-1,1,101001,24.89
13-1,2,110100,27.3
13-1,2,011110,24.91
13-1,2,100001,23.35
13-1,2,001011,24.76
13-1,2,010111,25.49
13-1,2,111101,26.61
13-1,2,000010,23.64
13-1,2,101000,25.85
13-1,1,110101,27.06
13-1,1,011111,23.61
13-1,1,100000,21.99
13-1,1,001010,24.5
13-1,1,001110,24.54
13-1,1,100100,21.97
13-1,1,011011,23.7
13-1,1,110001,26.57
13-1,2,101100,25.56
13-1,2,000110,23.83
13-1,2,111001,26.29
13-1,2,010011,25.33
13-1,2,101011,24.36
13-1,2,000001,25.95
13-1,2,111110,28.3
13-1,2,010100,25.79
13-1,1,001001,24.73
13-1,1,100011,22.26
13-1,1,011100,24.66
13-1,1,110110,26.95
13-1,1,110010,27.0
13-1,1,011000,24.47
13-1,1,100111,21.92
13-1,1,001101,24.46
13-1,2,010000,26.67
13-1,2,111010,27.63
13-1,2,000101,25.35
13-1,2,101111,24.2
13-1,2,110011,26.06
13-1,2,011001,24.94
13-1,2,100110,23.78
13-1,2,001100,25.64
13-1,1,010001,25.03
13-1,1,111011,25.06
13-1,1,000100,24.18
13-1,1,101110,23.35
13-1,1,101010,25.29
13-1,1,000000,24.23
13-1,1,111111,24.75
13-1,1,010101,24.91
13-1,2,001000,25.48
13-1,2,100010,24.15
13-1,2,011101,25.26
13-1,2,110111,26.14
13-1,0,001010,23.93
13-1,0,100000,23.51
13-1,0,011111,24.16
13-1,0,110101,28.86
13-1,0,110001,27.91
13-1,0,011011,24.14
13-1,0,100100,23.22
13-1,0,001110,23.92
13-1,0,010010,26.41
13-1,0,111000,28.96
13-1,0,000111,25.22
13-1,0,101101,23.45
13-1,0,101001,23.56
13-1,0,000011,25.66
13-1,0,111100,28.21
13-1,0,010110,26.62
13-1,0,101110,23.1
13-1,0,000100,24.25
13-1,0,111011,25.62
13-1,0,010001,25.84
13-1,0,010101,25.33
13-1,0,111111,27.15
13-1,0,000000,24.2
13-1,0,101010,23.32
13-1,0,110110,26.39
13-1,0,011100,25.97
13-1,0,100011,22.77
13-1,0,001001,25.84
13-1,0,001101,24.62
13-1,0,100111,22.5
13-1,0,011000,25.1
13-1,0,110010,26.94
13-1,0,010100,25.58
13-1,0,111110,28.94
13-1,0,000001,26.26
13-1,0,101011,23.73
13-1,0,101111,23.28
13-1,0,000101,26.3
13-1,0,111010,27.13
13-1,0,010000,25.8
13-1,0,001100,25.4
13-1,0,100110,22.54
13-1,0,011001,24.5
13-1,0,110011,25.56
13-1,0,110111,25.87
13-1,0,011101,25.78
13-1,0,100010,22.53
13-1,0,001000,25.43
13-1,0,110000,26.92
13-1,0,011010,25.11
13-1,0,100101,23.2
13-1,0,001111,25.94
13-1,0,001011,25.89
13-1,0,100001,23.01
13-1,0,011110,25.05
13-1,0,110100,26.74
13-1,0,101000,23.83
13-1,0,000010,23.86
13-1,0,111101,25.13
13-1,0,010111,24.83
13-1,0,010011,24.81
13-1,0,111001,25.34
13-1,0,000110,24.5
13-1,0,101100,23.0
13-1,2,010001,25.46
13-1,2,111011,25.66
13-1,2,000100,23.72
13-1,2,101110,23.79
13-1,1,110011,26.03
13-1,1,011001,23.76
13-1,1,100110,23.38
13-1,1,001100,25.14
13-1,1,001000,24.48
13-1,1,100010,22.3
13-1,1,011101,24.16
13-1,1,110111,27.21
13-1,2,101010,24.2
13-1,2,000000,24.27
13-1,2,111111,26.07
13-1,2,010101,25.38
13-1,2,001001,25.72
13-1,2,100011,23.24
13-1,2,011100,24.87
13-1,2,110110,28.72
13-1,1,101011,23.36
13-1,1,000001,26.1
13-1,1,111110,29.25
13-1,1,010100,25.66
13-1,1,010000,25.59
13-1,1,111010,29.03
13-1,1,000101,26.02
13-1,1,101111,22.62
13-1,2,110010,27.92
13-1,2,011000,24.82
13-1,2,100111,23.13
13-1,2,001101,26.13
13-1,2,110101,29.5
13-1,2,011111,24.09
13-1,2,100000,23.7
13-1,2,001010,24.83
13-1,1,010111,24.58
13-1,1,111101,25.27
13-1,1,000010,23.71
13-1,1,101000,22.85
13-1,1,101100,23.76
13-1,1,000110,23.14
13-1,1,111001,25.42
13-1,1,010011,24.74
13-1,2,001110,24.88
13-1,2,100100,23.66
13-1,2,011011,24.29
13-1,2,110001,29.22
13-1,2,101101,29.52
13-1,2,000111,26.75
13-1,2,111000,27.89
13-1,2,010010,26.39
13-1,1,001111,24.62
13-1,1,100101,22.5
13-1,1,011010,24.85
13-1,1,110000,28.6
13-1,1,110100,28.62
13-1,1,011110,26.21
13-1,1,100001,23.29
13-1,1,001011,24.56
13-1,2,010110,26.41
13-1,2,111100,28.38
13-1,2,000011,25.94
13-1,2,101001,28.32
5-1,1,101100,21.44
5-1,1,000110,22.77
5-1,1,111001,23.9
5-1,1,010011,23.57
5-1,2,001110,23.74
5-1,2,100100,21.19
5-1,2,011011,23.58
5-1,2,110001,25.63
5-1,2,110101,25.14
5-1,2,011111,23.56
5-1,2,100000,21.08
5-1,2,001010,23.72
5-1,1,010111,23.59
5-1,1,111101,23.97
5-1,1,000010,22.78
5-1,1,101000,21.6
5-1,1,110100,24.89
5-1,1,011110,23.34
5-1,1,100001,21.72
5-1,1,001011,23.56
5-1,2,010110,24.61
5-1,2,111100,25.19
5-1,2,000011,25.14
5-1,2,101001,22.14
5-1,2,101101,22.07
5-1,2,000111,24.39
5-1,2,111000,25.42
5-1,2,010010,24.74
5-1,1,001111,23.6
5-1,1,100101,21.51
5-1,1,011010,23.44
5-1,1,110000,25.23
5-1,1,001000,23.27
5-1,1,100010,21.03
5-1,1,011101,23.1
5-1,1,110111,24.27
5-1,2,101010,21.89
5-1,2,000000,23.25
5-1,2,111111,23.91
5-1,2,010101,24.32
5-1,2,010001,24.35
5-1,2,111011,24.33
5-1,2,000100,23.2
5-1,2,101110,21.74
5-1,1,110011,24.8
5-1,1,011001,23.32
5-1,1,100110,20.99
5-1,1,001100,23.38
5-1,1,010000,23.87
5-1,1,111010,24.72
5-1,1,000101,25.07
5-1,1,101111,21.82
5-1,2,110010,25.59
5-1,2,011000,23.88
5-1,2,100111,22.17
5-1,2,001101,24.14
5-1,2,001001,24.33
5-1,2,100011,22.27
5-1,2,011100,23.92
5-1,2,110110,25.58
5-1,1,101011,22.39
5-1,1,000001,23.34
5-1,1,111110,25.6
5-1,1,010100,23.86
5-1,0,001011,23.87
5-1,0,100001,21.79
5-1,0,011110,23.62
5-1,0,110100,25.12
5-1,0,110000,25.04
5-1,0,011010,23.62
5-1,0,100101,21.68
5-1,0,001111,23.93
5-1,0,010011,24.07
5-1,0,111001,23.88
5-1,0,000110,22.85
5-1,0,101100,21.35
5-1,0,101000,21.33
5-1,0,000010,22.88
5-1,0,111101,23.89
5-1,0,010111,24.03
5-1,0,101111,21.86
5-1,0,000101,23.54
5-1,0,111010,24.75
5-1,0,010000,24.25
5-1,0,010100,24.55
5-1,0,111110,25.15
5-1,0,000001,23.44
5-1,0,101011,22.23
5-1,0,110111,24.59
5-1,0,011101,23.37
5-1,0,100010,21.36
5-1,0,001000,23.7
5-1,0,001100,23.73
5-1,0,100110,21.28
5-1,0,011001,23.59
5-1,0,110011,24.91
5-1,0,010101,24.17
5-1,0,111111,23.68
5-1,0,000000,22.86
5-1,0,101010,21.8
5-1,0,101110,21.6
5-1,0,000100,22.75
5-1,0,111011,23.97
5-1,0,010001,24.22
5-1,0,001101,23.74
5-1,0,100111,21.82
5-1,0,011000,23.38
5-1,0,110010,25.73
5-1,0,110110,25.16
5-1,0,011100,23.58
5-1,0,100011,21.89
5-1,0,001001,23.81
5-1,0,110001,24.4
5-1,0,011011,23.36
5-1,0,100100,21.05
5-1,0,001110,23.39
5-1,0,001010,23.55
5-1,0,100000,20.91
5-1,0,011111,23.42
5-1,0,110101,24.95
5-1,0,101001,22.12
5-1,0,000011,24.42
5-1,0,111100,24.82
5-1,0,010110,24.27
5-1,0,010010,24.04
5-1,0,111000,25.54
5-1,0,000111,24.49
5-1,0,101101,21.9
5-1,1,110010,24.95
5-1,1,011000,23.35
5-1,1,100111,21.55
5-1,1,001101,23.85
5-1,2,010000,24.28
5-1,2,111010,25.19
5-1,2,000101,23.83
5-1,2,101111,22.12
5-1,2,101011,22.42
5-1,2,000001,23.74
5-1,2,111110,25.13
5-1,2,010100,24.43
5-1,1,001001,23.93
5-1,1,100011,21.8
5-1,1,011100,23.5
5-1,1,110110,25.03
5-1,1,101010,21.36
5-1,1,000000,22.76
5-1,1,111111,23.49
5-1,1,010101,23.83
5-1,2,001000,23.75
5-1,2,100010,21.54
5-1,2,011101,23.55
5-1,2,110111,24.39
5-1,2,110011,24.44
5-1,2,011001,23.49
5-1,2,100110,21.51
5-1,2,001100,23.73
5-1,1,010001,24.02
5-1,1,111011,23.77
5-1,1,000100,22.77
5-1,1,101110,21.21
5-1,1,010110,23.99
5-1,1,111100,24.46
5-1,1,000011,24.73
5-1,1,101001,21.74
5-1,2,110100,25.44
5-1,2,011110,23.87
5-1,2,100001,22.34
5-1,2,001011,24.1
5-1,2,001111,23.99
5-1,2,100101,22.18
5-1,2,011010,24.27
5-1,2,110000,24.97
5-1,1,101101,21.79
5-1,1,000111,24.66
5-1,1,111000,24.5
5-1,1,010010,24.0
5-1,1,001110,23.22
5-1,1,100100,20.71
5-1,1,011011,23.28
5-1,1,110001,24.38
5-1,2,101100,21.53
5-1,2,000110,23.26
5-1,2,111001,24.25
5-1,2,010011,24.24
5-1,2,010111,24.22
5-1,2,111101,24.36
5-1,2,000010,23.28
5-1,2,101000,21.58
5-1,1,110101,24.36
5-1,1,011111,23.08
5-1,1,100000,20.7
5-1,1,001010,23.35
5-2,2,011000,23.35
5-2,2,110010,24.71
5-2,2,001101,23.81
5-2,2,100111,21.55
5-2,1,111010,24.1
5-2,1,010000,23.45
5-2,1,101111,21.39
5-2,1,000101,23.09
5-2,1,000001,23.07
5-2,1,101011,21.68
5-2,1,010100,23.42
5-2,1,111110,24.08
5-2,2,100011,21.7
5-2,2,001001,24.02
5-2,2,110110,24.7
5-2,2,011100,23.33
5-2,2,000000,23.0
5-2,2,101010,21.59
5-2,2,010101,23.87
5-2,2,111111,23.8
5-2,1,100010,20.64
5-2,1,001000,22.97
5-2,1,110111,23.39
5-2,1,011101,22.85
5-2,1,011001,22.82
5-2,1,110011,23.48
5-2,1,001100,23.02
5-2,1,100110,20.59
5-2,2,111011,23.85
5-2,2,010001,23.96
5-2,2,101110,21.44
5-2,2,000100,23.06
5-2,2,111100,24.37
5-2,2,010110,24.02
5-2,2,101001,21.51
5-2,2,000011,23.5
5-2,1,011110,23.11
5-2,1,110100,23.97
5-2,1,001011,23.4
5-2,1,100001,21.02
5-2,1,100101,20.97
5-2,1,001111,23.38
5-2,1,110000,23.92
5-2,1,011010,23.11
5-2,2,000111,23.96
5-2,2,101101,21.44
5-2,2,010010,23.99
5-2,2,111000,24.31
5-2,2,100100,20.88
5-2,2,001110,23.81
5-2,2,110001,24.4
5-2,2,011011,23.28
5-2,1,000110,22.67
5-2,1,101100,20.74
5-2,1,010011,23.35
5-2,1,111001,23.57
5-2,1,111101,23.51
5-2,1,010111,23.36
5-2,1,101000,20.67
5-2,1,000010,22.59
5-2,2,011111,23.27
5-2,2,110101,24.34
5-2,2,001010,23.5
5-2,2,100000,20.89
5-2,0,011101,23.05
5-2,0,110111,23.54
5-2,0,001000,23.19
5-2,0,100010,20.7
5-2,0,100110,20.71
5-2,0,001100,23.11
5-2,0,110011,24.13
5-2,0,011001,23.06
5-2,0,000101,23.95
5-2,0,101111,21.49
5-2,0,010000,23.66
5-2,0,111010,23.99
5-2,0,111110,24.07
5-2,0,010100,23.65
5-2,0,101011,21.61
5-2,0,000001,23.18
5-2,0,111001,23.6
5-2,0,010011,23.83
5-2,0,101100,20.94
5-2,0,000110,23.04
5-2,0,000010,22.74
5-2,0,101000,20.91
5-2,0,010111,23.8
5-2,0,111101,23.67
5-2,0,100001,21.54
5-2,0,001011,23.55
5-2,0,110100,24.07
5-2,0,011110,23.37
5-2,0,011010,23.2
5-2,0,110000,24.08
5-2,0,001111,23.58
5-2,0,100101,21.17
5-2,0,000011,23.44
5-2,0,101001,21.55
5-2,0,010110,23.79
5-2,0,111100,23.9
5-2,0,111000,23.82
5-2,0,010010,23.67
5-2,0,101101,21.37
5-2,0,000111,23.22
5-2,0,011011,23.03
5-2,0,110001,24.23
5-2,0,001110,23.3
5-2,0,100100,20.56
5-2,0,100000,20.55
5-2,0,001010,23.24
5-2,0,110101,24.21
5-2,0,011111,23.06
5-2,0,100111,21.32
5-2,0,001101,23.49
5-2,0,110010,24.31
5-2,0,011000,23.08
5-2,0,011100,23.16
5-2,0,110110,24.28
5-2,0,001001,23.44
5-2,0,100011,21.57
5-2,0,111111,23.31
5-2,0,010101,23.85
5-2,0,101010,21.18
5-2,0,000000,22.78
5-2,0,000100,22.8
5-2,0,101110,21.15
5-2,0,010001,23.59
5-2,0,111011,23.7
5-2,2,000110,23.29
5-2,2,101100,21.26
5-2,2,010011,23.85
5-2,2,111001,24.0
5-2,1,100100,20.4
5-2,1,001110,23.12
5-2,1,110001,23.82
5-2,1,011011,22.77
5-2,1,011111,22.86
5-2,1,110101,23.86
5-2,1,001010,23.07
5-2,1,100000,20.42
5-2,2,111101,23.97
5-2,2,010111,23.82
5-2,2,101000,21.05
5-2,2,000010,23.2
5-2,2,011110,23.69
5-2,2,110100,24.46
5-2,2,001011,23.94
5-2,2,100001,21.86
5-2,1,111100,23.88
5-2,1,010110,23.55
5-2,1,101001,21.04
5-2,1,000011,23.08
5-2,1,000111,23.17
5-2,1,101101,21.22
5-2,1,010010,23.62
5-2,1,111000,23.83
5-2,2,100101,21.65
5-2,2,001111,24.07
5-2,2,110000,24.54
5-2,2,011010,23.66
5-2,2,100010,21.11
5-2,2,001000,23.51
5-2,2,110111,24.97
5-2,2,011101,23.32
5-2,1,000000,22.58
5-2,1,101010,21.19
5-2,1,010101,23.67
5-2,1,111111,23.14
5-2,1,111011,23.29
5-2,1,010001,23.36
5-2,1,101110,20.99
5-2,1,000100,22.56
5-2,2,011001,23.33
5-2,2,110011,24.31
5-2,2,001100,23.43
5-2,2,100110,21.26
5-2,2,111010,24.48
5-2,2,010000,23.83
5-2,2,101111,21.69
5-2,2,000101,23.89
5-2,1,011000,22.95
5-2,1,110010,24.11
5-2,1,001101,23.5
5-2,1,100111,20.99
5-2,1,100011,21.22
5-2,1,001001,23.47
5-2,1,110110,24.19
5-2,1,011100,22.9
5-2,2,000001,23.58
5-2,2,101011,21.9
5-2,2,010100,23.8
5-2,2,111110,24.36
6-1,2,001001,24.88
6-1,2,100011,23.01
6-1,2,011100,25.09
6-1,2,110110,27.73
6-1,1,101011,22.87
6-1,1,000001,25.95
6-1,1,111110,27.2
6-1,1,010100,26.9
6-1,1,010000,26.92
6-1,1,111010,26.92
6-1,1,000101,25.92
6-1,1,101111,22.58
6-1,2,110010,27.79
6-1,2,011000,25.12
6-1,2,100111,22.77
6-1,2,001101,24.94
6-1,2,010001,25.05
6-1,2,111011,25.34
6-1,2,000100,23.95
6-1,2,101110,23.97
6-1,1,110011,25.49
6-1,1,011001,24.81
6-1,1,100110,21.82
6-1,1,001100,24.69
6-1,1,001000,23.94
6-1,1,100010,21.83
6-1,1,011101,23.63
6-1,1,110111,25.42
6-1,2,101010,23.29
6-1,2,000000,24.21
6-1,2,111111,25.05
6-1,2,010101,25.6
6-1,2,101101,23.34
6-1,2,000111,25.25
6-1,2,111000,27.37
6-1,2,010010,26.53
6-1,1,001111,24.98
6-1,1,100101,22.41
6-1,1,011010,24.43
6-1,1,110000,26.43
6-1,1,110100,26.51
6-1,1,011110,24.02
6-1,1,100001,22.59
6-1,1,001011,25.05
6-1,2,010110,26.49
6-1,2,111100,27.1
6-1,2,000011,25.38
6-1,2,101001,23.33
6-1,2,110101,26.05
6-1,2,011111,23.98
6-1,2,100000,22.07
6-1,2,001010,24.24
6-1,1,010111,24.79
6-1,1,111101,25.23
6-1,1,000010,24.25
6-1,1,101000,22.59
6-1,1,101100,22.85
6-1,1,000110,24.19
6-1,1,111001,25.45
6-1,1,010011,24.62
6-1,2,001110,25.07
6-1,2,100100,21.98
6-1,2,011011,23.99
6-1,2,110001,26.62
6-1,0,001100,24.25
6-1,0,100110,21.86
6-1,0,011001,24.36
6-1,0,110011,25.51
6-1,0,110111,25.63
6-1,0,011101,24.47
6-1,0,100010,22.28
6-1,0,001000,25.0
6-1,0,010100,25.6
6-1,0,111110,28.02
6-1,0,000001,25.99
6-1,0,101011,23.12
6-1,0,101111,22.51
6-1,0,000101,25.61
6-1,0,111010,28.0
6-1,0,010000,25.83
6-1,0,101000,24.37
6-1,0,000010,24.14
6-1,0,111101,25.61
6-1,0,010111,25.18
6-1,0,010011,25.22
6-1,0,111001,25.62
6-1,0,000110,24.16
6-1,0,101100,22.88
6-1,0,110000,27.01
6-1,0,011010,24.21
6-1,0,100101,22.43
6-1,0,001111,24.61
6-1,0,001011,25.25
6-1,0,100001,22.59
6-1,0,011110,24.26
6-1,0,110100,26.89
6-1,0,010010,26.3
6-1,0,111000,27.05
6-1,0,000111,25.79
6-1,0,101101,23.16
6-1,0,101001,23.27
6-1,0,000011,25.72
6-1,0,111100,26.8
6-1,0,010110,27.45
6-1,0,001010,24.86
6-1,0,100000,21.72
6-1,0,011111,24.21
6-1,0,110101,25.83
6-1,0,110001,25.89
6-1,0,011011,24.15
6-1,0,100100,21.77
6-1,0,001110,24.84
6-1,0,110110,27.55
6-1,0,011100,25.34
6-1,0,100011,22.7
6-1,0,001001,24.67
6-1,0,001101,24.59
6-1,0,100111,22.56
6-1,0,011000,25.3
6-1,0,110010,27.56
6-1,0,101110,23.15
6-1,0,000100,23.87
6-1,0,111011,25.18
6-1,0,010001,25.1
6-1,0,010101,25.11
6-1,0,111111,24.68
6-1,0,000000,23.78
6-1,0,101010,23.45
6-1,2,010111,25.19
6-1,2,111101,26.08
6-1,2,000010,24.79
6-1,2,101000,23.1
6-1,1,110101,25.65
6-1,1,011111,23.47
6-1,1,100000,21.4
6-1,1,001010,24.0
6-1,1,001110,23.66
6-1,1,100100,21.55
6-1,1,011011,23.62
6-1,1,110001,25.69
6-1,2,101100,23.11
6-1,2,000110,24.8
6-1,2,111001,26.06
6-1,2,010011,25.36
6-1,2,001111,25.51
6-1,2,100101,22.68
6-1,2,011010,24.51
6-1,2,110000,27.32
6-1,1,101101,22.92
6-1,1,000111,25.5
6-1,1,111000,26.44
6-1,1,010010,26.19
6-1,1,010110,26.18
6-1,1,111100,26.78
6-1,1,000011,25.51
6-1,1,101001,22.69
6-1,2,110100,27.37
6-1,2,011110,24.52
6-1,2,100001,22.77
6-1,2,001011,25.44
6-1,2,110011,26.03
6-1,2,011001,24.22
6-1,2,100110,22.01
6-1,2,001100,25.02
6-1,1,010001,25.04
6-1,1,111011,24.78
6-1,1,000100,23.73
6-1,1,101110,23.31
6-1,1,101010,23.5
6-1,1,000000,23.74
6-1,1,111111,24.58
6-1,1,010101,25.1
6-1,2,001000,24.23
6-1,2,100010,22.2
6-1,2,011101,24.58
6-1,2,110111,25.79
6-1,2,101011,23.24
6-1,2,000001,25.74
6-1,2,111110,28.03
6-1,2,010100,27.08
6-1,1,001001,24.52
6-1,1,100011,22.25
6-1,1,011100,24.0
6-1,1,110110,27.7
6-1,1,110010,26.45
6-1,1,011000,23.97
6-1,1,100111,21.95
6-1,1,001101,24.59
6-1,2,010000,26.1
6-1,2,111010,28.02
6-1,2,000101,25.8
6-1,2,101111,23.17
6-2,2,101101,23.17
6-2,2,000111,25.31
6-2,2,111000,26.77
6-2,2,010010,27.19
6-2,1,001111,24.31
6-2,1,100101,22.59
6-2,1,011010,25.04
6-2,1,110000,27.06
6-2,1,110100,27.15
6-2,1,011110,26.17
6-2,1,100001,22.78
6-2,1,001011,24.24
6-2,2,010110,27.11
6-2,2,111100,26.7
6-2,2,000011,25.51
6-2,2,101001,23.3
6-2,2,110101,26.8
6-2,2,011111,23.82
6-2,2,100000,22.48
6-2,2,001010,24.26
6-2,1,010111,24.53
6-2,1,111101,25.33
6-2,1,000010,23.86
6-2,1,101000,22.09
6-2,1,101100,22.14
6-2,1,000110,23.88
6-2,1,111001,25.27
6-2,1,010011,24.19
6-2,2,001110,24.07
6-2,2,100100,22.23
6-2,2,011011,24.45
6-2,2,110001,26.88
6-2,2,001001,26.92
6-2,2,100011,22.85
6-2,2,011100,25.04
6-2,2,110110,28.68
6-2,1,101011,22.72
6-2,1,000001,24.69
6-2,1,111110,26.8
6-2,1,010100,26.06
6-2,1,010000,26.25
6-2,1,111010,27.4
6-2,1,000101,25.38
6-2,1,101111,22.43
6-2,2,110010,28.83
6-2,2,011000,24.98
6-2,2,100111,22.54
6-2,2,001101,25.3
6-2,2,010001,24.76
6-2,2,111011,25.57
6-2,2,000100,23.52
6-2,2,101110,22.68
6-2,1,110011,25.68
6-2,1,011001,23.53
6-2,1,100110,21.47
6-2,1,001100,24.8
6-2,1,001000,24.66
6-2,1,100010,21.76
6-2,1,011101,23.38
6-2,1,110111,25.64
6-2,2,101010,22.87
6-2,2,000000,23.61
6-2,2,111111,25.01
6-2,2,010101,24.77
6-2,0,101000,22.17
6-2,0,000010,23.78
6-2,0,111101,25.1
6-2,0,010111,24.57
6-2,0,010011,24.71
6-2,0,111001,25.02
6-2,0,000110,23.78
6-2,0,101100,22.11
6-2,0,110000,27.85
6-2,0,011010,25.08
6-2,0,100101,22.56
6-2,0,001111,25.14
6-2,0,001011,25.2
6-2,0,100001,22.77
6-2,0,011110,25.13
6-2,0,110100,26.66
6-2,0,001100,24.49
6-2,0,100110,21.96
6-2,0,011001,23.69
6-2,0,110011,26.11
6-2,0,110111,26.09
6-2,0,011101,23.65
6-2,0,100010,22.22
6-2,0,001000,24.57
6-2,0,010100,25.7
6-2,0,111110,26.51
6-2,0,000001,25.13
6-2,0,101011,23.04
6-2,0,101111,22.81
6-2,0,000101,25.15
6-2,0,111010,26.37
6-2,0,010000,25.34
6-2,0,110110,27.46
6-2,0,011100,25.04
6-2,0,100011,22.38
6-2,0,001001,25.66
6-2,0,001101,25.65
6-2,0,100111,22.13
6-2,0,011000,25.01
6-2,0,110010,27.44
6-2,0,101110,22.81
6-2,0,000100,23.53
6-2,0,111011,25.12
6-2,0,010001,24.82
6-2,0,010101,24.95
6-2,0,111111,25.2
6-2,0,000000,23.33
6-2,0,101010,22.75
6-2,0,010010,26.08
6-2,0,111000,27.17
6-2,0,000111,24.82
6-2,0,101101,23.1
6-2,0,101001,23.46
6-2,0,000011,24.97
6-2,0,111100,27.1
6-2,0,010110,25.64
6-2,0,001010,24.06
6-2,0,100000,21.43
6-2,0,011111,23.7
6-2,0,110101,26.32
6-2,0,110001,26.43
6-2,0,011011,23.6
6-2,0,100100,21.77
6-2,0,001110,23.96
6-2,2,110011,26.69
6-2,2,011001,24.06
6-2,2,100110,22.31
6-2,2,001100,25.5
6-2,1,010001,24.45
6-2,1,111011,25.25
6-2,1,000100,23.32
6-2,1,101110,22.61
6-2,1,101010,22.42
6-2,1,000000,23.09
6-2,1,111111,25.21
6-2,1,010101,24.29
6-2,2,001000,25.43
6-2,2,100010,22.44
6-2,2,011101,24.01
6-2,2,110111,26.79
6-2,2,101011,23.09
6-2,2,000001,25.53
6-2,2,111110,27.81
6-2,2,010100,26.52
6-2,1,001001,24.76
6-2,1,100011,22.33
6-2,1,011100,23.98
6-2,1,110110,27.43
6-2,1,110010,27.06
6-2,1,011000,23.85
6-2,1,100111,22.12
6-2,1,001101,24.43
6-2,2,010000,26.51
6-2,2,111010,27.76
6-2,2,000101,25.53
6-2,2,101111,22.89
6-2,2,010111,24.99
6-2,2,111101,25.73
6-2,2,000010,23.66
6-2,2,101000,22.57
6-2,1,110101,25.79
6-2,1,011111,23.46
6-2,1,100000,21.63
6-2,1,001010,24.06
6-2,1,001110,24.1
6-2,1,100100,21.5
6-2,1,011011,23.43
6-2,1,110001,25.69
6-2,2,101100,22.42
6-2,2,000110,23.67
6-2,2,111001,25.66
6-2,2,010011,24.88
6-2,2,001111,25.27
6-2,2,100101,23.2
6-2,2,011010,24.71
6-2,2,110000,27.64
6-2,1,101101,23.43
6-2,1,000111,24.96
6-2,1,111000,26.36
6-2,1,010010,25.93
6-2,1,010110,26.16
6-2,1,111100,26.4
6-2,1,000011,24.91
6-2,1,101001,23.04
6-2,2,110100,27.63
6-2,2,011110,24.87
6-2,2,100001,23.42
6-2,2,001011,25.3
6-3,1,111101,24.95
6-3,1,010111,24.67
6-3,1,101000,22.16
6-3,1,000010,24.78
6-3,2,011111,24.25
6-3,2,110101,25.85
6-3,2,001010,24.52
6-3,2,100000,22.02
6-3,2,100100,21.73
6-3,2,001110,24.61
6-3,2,110001,25.76
6-3,2,011011,24.22
6-3,1,000110,24.7
6-3,1,101100,22.18
6-3,1,010011,24.73
6-3,1,111001,24.82
6-3,1,100101,22.15
6-3,1,001111,25.11
