setting,div,grammar,perplexity
1-2,0,110110,25.52
1-2,0,011100,23.55
1-2,0,000000,24.02
1-2,0,101010,22.77
1-2,0,010101,24.26
1-2,0,111111,24.55
1-2,0,111011,24.56
1-2,0,010001,24.29
1-2,0,101110,22.75
1-2,0,000100,24.05
1-2,1,011011,23.32
1-2,1,110001,24.78
1-2,1,001110,23.55
1-2,1,100100,21.26
1-2,1,100000,21.3
1-2,1,001010,23.55
1-2,1,110101,24.82
1-2,1,011111,23.32
1-2,1,000011,24.85
1-2,1,101001,22.38
1-2,1,010110,24.79
1-2,1,111100,25.1
1-2,1,111000,25.15
1-2,1,010010,24.79
1-2,1,101101,22.12
1-2,1,000111,24.79
1-2,1,111111,24.15
1-2,1,010101,23.99
1-2,1,101010,22.38
1-2,1,000000,23.29
1-2,1,000100,23.75
1-2,1,101110,22.46
1-2,1,010001,24.0
1-2,1,111011,24.16
1-2,1,100111,21.66
1-2,1,001101,24.03
1-2,1,110010,25.35
1-2,1,011000,23.33
1-2,1,011100,23.34
1-2,1,110110,25.41
1-2,1,001001,24.1
1-2,1,100011,21.92
1-2,1,000101,25.69
1-2,1,101111,22.29
1-2,1,010000,24.55
1-2,1,111010,25.24
1-2,1,111110,25.25
1-2,1,010100,24.57
1-2,1,101011,22.53
1-2,1,000001,25.68
1-2,1,011101,23.25
1-2,1,110111,24.18
1-2,1,001000,23.9
1-2,1,100010,21.21
1-2,1,100110,21.19
1-2,1,001100,24.07
1-2,1,110011,24.33
1-2,1,011001,23.24
1-2,1,100001,21.9
1-2,1,001011,23.87
1-2,1,110100,25.42
1-2,1,011110,23.45
1-2,1,011010,23.48
1-2,1,110000,25.31
1-2,1,001111,23.95
1-2,1,100101,21.67
1-2,1,111001,24.64
1-2,1,010011,24.17
1-2,1,101100,22.68
1-2,1,000110,23.22
1-2,1,000010,24.06
1-2,1,101000,22.7
1-2,1,010111,24.27
1-2,1,111101,24.67
1-2,0,100010,21.58
1-2,0,001000,24.06
1-2,0,110111,24.53
1-2,0,011101,23.49
1-2,0,011001,23.45
1-2,0,110011,24.62
1-2,0,001100,24.06
1-2,0,100110,21.54
1-2,0,111010,25.54
1-2,0,010000,24.74
1-2,0,101111,22.18
1-2,0,000101,26.26
1-2,0,000001,26.29
1-2,0,101011,22.51
1-2,0,010100,24.71
1-2,0,111110,25.49
1-2,0,000110,24.08
1-2,0,101100,22.69
1-2,0,010011,24.33
1-2,0,111001,24.88
1-2,0,111101,24.86
1-2,0,010111,24.37
1-2,0,101000,22.85
1-2,0,000010,24.08
1-2,0,011110,23.63
1-2,0,110100,25.79
1-2,0,001011,24.45
1-2,0,100001,22.2
